time,call_id,passenger_id,origin_floor,destination_floor,car_id
2178.945,CALL000276,P00276,4,1,C3
2181.752,CALL000277,P00277,2,1,C1
2193.551,CALL000278,P00278,6,1,C3
2194.366,CALL000279,P00279,8,1,C3
2201.902,CALL000280,P00280,5,1,C2
2211.297,CALL000281,P00281,5,1,C1
2212.627,CALL000282,P00282,4,1,C2
2214.31,CALL000283,P00283,6,1,C1
2220.665,CALL000284,P00284,3,1,C2
2236.463,CALL000285,P00285,7,1,C1
2248.92,CALL000286,P00286,2,1,C2
2249.882,CALL000287,P00287,8,1,C2
2253.084,CALL000288,P00288,2,1,C3
2253.459,CALL000289,P00289,2,1,C3
2257.329,CALL000290,P00290,3,1,C1
2258.34,CALL000291,P00291,5,1,C2
2267.104,CALL000292,P00292,4,1,C3
2276.222,CALL000293,P00293,3,1,C3
2281.376,CALL000294,P00294,2,1,C1
2282.416,CALL000295,P00295,6,1,C2
2303.279,CALL000296,P00296,7,1,C2
2309.04,CALL000297,P00297,8,1,C1
2322.86,CALL000298,P00298,4,1,C3
2325.538,CALL000299,P00299,2,1,C1
2326.18,CALL000300,P00300,7,1,C3
2328.443,CALL000301,P00301,3,1,C2
2346.645,CALL000302,P00302,5,1,C1
2348.415,CALL000303,P00303,8,1,C3
2359.251,CALL000304,P00304,4,1,C1
2360.862,CALL000305,P00305,2,1,C2
2362.608,CALL000306,P00306,4,1,C1
2369.693,CALL000307,P00307,3,1,C1
2386.736,CALL000308,P00308,2,1,C1
2417.508,CALL000309,P00309,2,1,C1
2435.561,CALL000310,P00310,2,1,C3
2438.725,CALL000311,P00311,6,1,C2
2442.99,CALL000312,P00312,8,1,C3
2450.541,CALL000313,P00313,2,1,C1
2454.964,CALL000314,P00314,2,1,C1
2461.425,CALL000315,P00315,5,1,C2
2471.209,CALL000316,P00316,3,1,C1
2481.694,CALL000317,P00317,5,1,C1
2481.913,CALL000318,P00318,5,1,C1
2484.615,CALL000319,P00319,6,1,C2
2498.593,CALL000320,P00320,2,1,C1
2499.118,CALL000321,P00321,3,1,C3
2515.286,CALL000322,P00322,4,1,C3
2524.977,CALL000323,P00323,4,1,C1
2536.069,CALL000324,P00324,6,1,C1
2536.891,CALL000325,P00325,5,1,C3
2549.068,CALL000326,P00326,6,1,C1
2553.68,CALL000327,P00327,6,1,C1
2558.877,CALL000328,P00328,2,1,C2
2566.348,CALL000329,P00329,8,1,C3
2615.738,CALL000330,P00330,4,1,C3
2621.489,CALL000331,P00331,4,1,C1
2625.823,CALL000332,P00332,2,1,C2
2627.015,CALL000333,P00333,8,1,C2
2628.74,CALL000334,P00334,2,1,C1
2639.142,CALL000335,P00335,6,1,C2
2644.676,CALL000336,P00336,6,1,C1
2693.483,CALL000337,P00337,8,1,C2
2698.448,CALL000338,P00338,8,1,C1
2713.316,CALL000339,P00339,2,1,C1
2714.267,CALL000340,P00340,5,1,C2
2715.1,CALL000341,P00341,3,1,C3
2717.747,CALL000342,P00342,6,1,C2
2720.633,CALL000343,P00343,6,1,C2
2735.208,CALL000344,P00344,4,1,C2
2766.253,CALL000345,P00345,7,1,C1
2776.358,CALL000346,P00346,3,1,C3
2781.072,CALL000347,P00347,4,1,C1
2785.025,CALL000348,P00348,4,1,C3
2797.724,CALL000349,P00349,7,1,C3
2800.744,CALL000350,P00350,4,1,C1
2808.667,CALL000351,P00351,3,1,C2
2824.454,CALL000352,P00352,4,1,C1
2825.002,CALL000353,P00353,8,1,C3
2826.499,CALL000354,P00354,3,1,C1
2833.163,CALL000355,P00355,5,1,C2
2839.24,CALL000356,P00356,3,1,C2
2861.537,CALL000357,P00357,6,1,C2
2862.972,CALL000358,P00358,4,1,C2
2867.725,CALL000359,P00359,8,1,C1
2869.648,CALL000360,P00360,5,1,C1
2881.747,CALL000361,P00361,6,1,C3
2895.707,CALL000362,P00362,7,1,C1
2909.118,CALL000363,P00363,8,1,C1
2917.354,CALL000364,P00364,2,1,C2
2918.099,CALL000365,P00365,4,1,C3
2922.718,CALL000366,P00366,7,1,C2
2923.731,CALL000367,P00367,2,1,C3
2928.332,CALL000368,P00368,3,1,C2
2935.436,CALL000369,P00369,6,1,C1
2939.787,CALL000370,P00370,6,1,C2
2955.904,CALL000371,P00371,6,1,C2
2957.381,CALL000372,P00372,6,1,C2
2975.81,CALL000373,P00373,6,1,C2
2976.257,CALL000374,P00374,2,1,C1
2983.049,CALL000375,P00375,5,1,C1
2990.896,CALL000376,P00376,4,1,C1
2995.267,CALL000377,P00377,7,1,C3
2995.382,CALL000378,P00378,3,1,C2
3009.744,CALL000379,P00379,6,1,C1
3041.933,CALL000380,P00380,2,1,C3
3047.185,CALL000381,P00381,5,1,C3
3052.065,CALL000382,P00382,3,1,C3
3056.998,CALL000383,P00383,2,1,C1
3073.103,CALL000384,P00384,6,1,C3
3074.784,CALL000385,P00385,4,1,C1
3092.658,CALL000386,P00386,2,1,C2
3098.698,CALL000387,P00387,3,1,C2
3131.229,CALL000388,P00388,2,1,C2
3135.472,CALL000389,P00389,3,1,C2
3142.5,CALL000390,P00390,2,1,C1
3146.539,CALL000391,P00391,5,1,C2
3153.791,CALL000392,P00392,8,1,C1
3167.258,CALL000393,P00393,7,1,C2
3186.174,CALL000394,P00394,5,1,C2
3191.884,CALL000395,P00395,6,1,C3
3195.737,CALL000396,P00396,3,1,C3
3225.388,CALL000397,P00397,6,1,C3
3233.212,CALL000398,P00398,6,1,C1
3233.419,CALL000399,P00399,4,1,C2
3235.997,CALL000400,P00400,7,1,C1
3254.338,CALL000401,P00401,8,1,C1
3272.26,CALL000402,P00402,3,1,C3
3274.396,CALL000403,P00403,4,1,C2
3286.089,CALL000404,P00404,7,1,C2
3309.726,CALL000405,P00405,2,1,C2
3313.721,CALL000406,P00406,7,1,C2
3316.801,CALL000407,P00407,4,1,C3
3324.797,CALL000408,P00408,3,1,C1
3325.672,CALL000409,P00409,8,1,C3
3335.062,CALL000410,P00410,6,1,C1
3340.744,CALL000411,P00411,4,1,C3
